=== 고용보험 전체 재수집 리포트 (2026-05-14 23:02) ===


[EC 재수집] 수정:1608건, 동일:6건, 오류:1건
[EC 재수집] 전체 인원 합계: 2,935,260 → 1,680,811 (-1,254,449명)

[5% 이상 변화 기업 목록] (1605건):
  동성케미컬(102260): 1,219 → 617 (-602명, 49.4%)
  깨끗한나라(004540): 1,198 → 599 (-599명, 50.0%)
  아모텍(052710): 1,098 → 500 (-598명, 54.5%)
  대한제분(001130): 986 → 390 (-596명, 60.4%)
  삼기(122350): 1,208 → 612 (-596명, 49.3%)
  우원개발(046940): 654 → 61 (-593명, 90.7%)
  BYC(001460): 1,172 → 580 (-592명, 50.5%)
  SFA반도체(036540): 1,175 → 585 (-590명, 50.2%)
  한화솔루션(009830): 1,661 → 1,073 (-588명, 35.4%)
  대아티아이(045390): 1,209 → 621 (-588명, 48.6%)
  아이티센씨티에스(031820): 1,778 → 1,192 (-586명, 33.0%)
  동양고속(084670): 1,166 → 580 (-586명, 50.3%)
  DYP(092780): 1,173 → 588 (-585명, 49.9%)
  에스넷시스템(038680): 1,149 → 565 (-584명, 50.8%)
  네패스(033640): 814 → 231 (-583명, 71.6%)
  아스트(067390): 1,379 → 797 (-582명, 42.2%)
  테크윙(089030): 1,254 → 674 (-580명, 46.3%)
  인지컨트롤스(023800): 1,129 → 552 (-577명, 51.1%)
  무림P&P(009580): 1,156 → 581 (-575명, 49.7%)
  한국특강(007280): 1,153 → 579 (-574명, 49.8%)
  풀무원(017810): 1,134 → 560 (-574명, 50.6%)
  피엔티(137400): 1,161 → 587 (-574명, 49.4%)
  SK오션플랜트(100090): 1,140 → 568 (-572명, 50.2%)
  대원산업(005710): 1,126 → 560 (-566명, 50.3%)
  우진플라임(049800): 1,125 → 559 (-566명, 50.3%)
  애경산업(018250): 1,122 → 561 (-561명, 50.0%)
  DN오토모티브(007340): 1,099 → 540 (-559명, 50.9%)
  LS증권(078020): 1,113 → 554 (-559명, 50.2%)
  화승코퍼레이션(013520): 944 → 387 (-557명, 59.0%)
  세코닉스(053450): 1,088 → 531 (-557명, 51.2%)
  케이티알파(036030): 1,166 → 613 (-553명, 47.4%)
  동우팜투테이블(088910): 1,095 → 546 (-549명, 50.1%)
  파트론(091700): 1,092 → 547 (-545명, 49.9%)
  삼성물산(028260): 1,071 → 528 (-543명, 50.7%)
  이건산업(008250): 785 → 245 (-540명, 68.8%)
  SNT모티브(064960): 1,055 → 516 (-539명, 51.1%)
  세원물산(024830): 818 → 282 (-536명, 65.5%)
  옵트론텍(082210): 650 → 115 (-535명, 82.3%)
  정상제이엘에스(040420): 1,094 → 562 (-532명, 48.6%)
  가온전선(000500): 1,055 → 524 (-531명, 50.3%)
  삼보모터스(053700): 1,062 → 533 (-529명, 49.8%)
  엘오티베큠(083310): 1,170 → 641 (-529명, 45.2%)
  원익머트리얼즈(104830): 1,058 → 529 (-529명, 50.0%)
  마크로젠(038290): 1,189 → 662 (-527명, 44.3%)
  다원시스(068240): 1,074 → 549 (-525명, 48.9%)
  엠에스씨(009780): 1,170 → 646 (-524명, 44.8%)
  종근당바이오(063160): 581 → 57 (-524명, 90.2%)
  LX인터내셔널(001120): 926 → 403 (-523명, 56.5%)
  톱텍(108230): 1,147 → 625 (-522명, 45.5%)
  인터지스(129260): 1,251 → 733 (-518명, 41.4%)
  대원(007680): 1,043 → 527 (-516명, 49.5%)
  조흥(002600): 1,029 → 515 (-514명, 50.0%)
  넥센(005720): 980 → 467 (-513명, 52.3%)
  팜스코(036580): 1,106 → 594 (-512명, 46.3%)
  주성엔지니어링(036930): 1,021 → 509 (-512명, 50.1%)
  에이치시티(072990): 1,013 → 505 (-508명, 50.1%)
  태양금속공업(004100): 1,015 → 508 (-507명, 50.0%)
  상아프론테크(089980): 1,017 → 510 (-507명, 49.9%)
  엠씨넥스(097520): 1,005 → 502 (-503명, 50.0%)
  쎄트렉아이(099320): 1,003 → 500 (-503명, 50.1%)
  위메이드(112040): 1,004 → 502 (-502명, 50.0%)
  유비벨록스(089850): 847 → 347 (-500명, 59.0%)
  남선알미늄(008350): 654 → 156 (-498명, 76.1%)
  제주은행(006220): 1,000 → 503 (-497명, 49.7%)
  서울도시가스(017390): 890 → 394 (-496명, 55.7%)
  DH오토웨어(025440): 852 → 356 (-496명, 58.2%)
  남양유업(003920): 987 → 494 (-493명, 49.9%)
  텔레칩스(054450): 981 → 489 (-492명, 50.2%)
  신라교역(004970): 598 → 108 (-490명, 81.9%)
  한성기업(003680): 580 → 91 (-489명, 84.3%)
  한국무브넥스(010100): 963 → 474 (-489명, 50.8%)
  하이록코리아(013030): 979 → 490 (-489명, 49.9%)
  NICE인프라(063570): 980 → 494 (-486명, 49.6%)
  윈스테크넷(136540): 1,408 → 922 (-486명, 34.5%)
  뷰웍스(100120): 967 → 482 (-485명, 50.2%)
  부스타(008470): 955 → 472 (-483명, 50.6%)
  디오(039840): 974 → 492 (-482명, 49.5%)
  웹젠(069080): 960 → 481 (-479명, 49.9%)
  이지케어텍(099750): 1,019 → 541 (-478명, 46.9%)
  한미사이언스(008930): 956 → 479 (-477명, 49.9%)
  우주일렉트로닉스(065680): 818 → 344 (-474명, 57.9%)
  로지시스(067730): 949 → 475 (-474명, 49.9%)
  노랑풍선(104620): 944 → 472 (-472명, 50.0%)
  현대비앤지스틸(004560): 932 → 463 (-469명, 50.3%)
  예스이십사(053280): 939 → 470 (-469명, 49.9%)
  한양증권(001750): 937 → 469 (-468명, 49.9%)
  일지테크(019540): 919 → 454 (-465명, 50.6%)
  코스모신소재(005070): 917 → 454 (-463명, 50.5%)
